2020-06-01 10:19:52.231032	window size k : 1
2020-06-01 10:19:52.231103	time(s) : 457.092806
2020-06-01 10:19:52.232948	x_hat_error_rate : 0.101674
2020-06-01 10:19:52.233126	
2020-06-01 10:27:30.073689	window size k : 2
2020-06-01 10:27:30.073831	time(s) : 456.427889
2020-06-01 10:27:30.073948	x_hat_error_rate : 0.070931
2020-06-01 10:27:30.073972	
2020-06-01 10:35:24.730759	window size k : 3
2020-06-01 10:35:24.730898	time(s) : 473.419710
2020-06-01 10:35:24.731318	x_hat_error_rate : 0.059804
2020-06-01 10:35:24.731379	
2020-06-01 10:43:24.869797	window size k : 5
2020-06-01 10:43:24.869951	time(s) : 478.761672
2020-06-01 10:43:24.870387	x_hat_error_rate : 0.056577
2020-06-01 10:43:24.870458	
2020-06-01 10:51:28.922116	window size k : 8
2020-06-01 10:51:28.922158	time(s) : 482.668194
2020-06-01 10:51:28.922522	x_hat_error_rate : 0.055894
2020-06-01 10:51:28.922547	
2020-06-01 10:59:38.440718	window size k : 10
2020-06-01 10:59:38.440767	time(s) : 488.204719
2020-06-01 10:59:38.441160	x_hat_error_rate : 0.055329
2020-06-01 10:59:38.441193	
2020-06-01 11:07:53.854484	window size k : 15
2020-06-01 11:07:53.854522	time(s) : 493.989579
2020-06-01 11:07:53.854883	x_hat_error_rate : 0.055814
2020-06-01 11:07:53.854905	
2020-06-01 11:16:17.901336	window size k : 20
2020-06-01 11:16:17.901376	time(s) : 502.795342
2020-06-01 11:16:17.901745	x_hat_error_rate : 0.056473
2020-06-01 11:16:17.901768	
2020-06-01 11:25:05.190987	window size k : 30
2020-06-01 11:25:05.191026	time(s) : 525.957861
2020-06-01 11:25:05.191181	x_hat_error_rate : 0.056755
2020-06-01 11:25:05.191203	
2020-06-01 11:34:14.407000	window size k : 50
2020-06-01 11:34:14.407155	time(s) : 547.837395
2020-06-01 11:34:14.407575	x_hat_error_rate : 0.058025
2020-06-01 11:34:14.407642	
