2020-06-01 13:10:27.878069	window size k : 1
2020-06-01 13:10:27.878111	time(s) : 445.340013
2020-06-01 13:10:27.879147	x_hat_error_rate : 0.081340
2020-06-01 13:10:27.879325	
2020-06-01 13:17:49.346084	window size k : 2
2020-06-01 13:17:49.346131	time(s) : 440.071621
2020-06-01 13:17:49.347891	x_hat_error_rate : 0.067323
2020-06-01 13:17:49.348068	
2020-06-01 13:25:22.458264	window size k : 3
2020-06-01 13:25:22.458304	time(s) : 451.745351
2020-06-01 13:25:22.458462	x_hat_error_rate : 0.064326
2020-06-01 13:25:22.458484	
2020-06-01 13:33:01.785606	window size k : 5
2020-06-01 13:33:01.785649	time(s) : 457.902241
2020-06-01 13:33:01.786019	x_hat_error_rate : 0.063529
2020-06-01 13:33:01.786044	
2020-06-01 13:40:40.963631	window size k : 8
2020-06-01 13:40:40.963671	time(s) : 457.815563
2020-06-01 13:40:40.963833	x_hat_error_rate : 0.063688
2020-06-01 13:40:40.963855	
2020-06-01 13:48:25.396042	window size k : 10
2020-06-01 13:48:25.396081	time(s) : 463.132866
2020-06-01 13:48:25.396501	x_hat_error_rate : 0.063877
2020-06-01 13:48:25.396525	
2020-06-01 13:56:18.232630	window size k : 15
2020-06-01 13:56:18.232671	time(s) : 471.457962
2020-06-01 13:56:18.233066	x_hat_error_rate : 0.064166
2020-06-01 13:56:18.233091	
2020-06-01 14:04:27.297731	window size k : 20
2020-06-01 14:04:27.297772	time(s) : 487.753170
2020-06-01 14:04:27.298140	x_hat_error_rate : 0.065090
2020-06-01 14:04:27.298166	
2020-06-01 14:12:48.367777	window size k : 30
2020-06-01 14:12:48.367813	time(s) : 499.726497
2020-06-01 14:12:48.367980	x_hat_error_rate : 0.064906
2020-06-01 14:12:48.368002	
2020-06-01 14:21:33.708649	window size k : 50
2020-06-01 14:21:33.708772	time(s) : 523.941833
2020-06-01 14:21:33.708895	x_hat_error_rate : 0.065367
2020-06-01 14:21:33.708913	
