2020-06-01 11:45:59.157417	window size k : 1
2020-06-01 11:45:59.157462	time(s) : 471.128486
2020-06-01 11:45:59.157642	x_hat_error_rate : 0.108661
2020-06-01 11:45:59.157664	
2020-06-01 11:53:51.149925	window size k : 2
2020-06-01 11:53:51.149981	time(s) : 470.815993
2020-06-01 11:53:51.150156	x_hat_error_rate : 0.066464
2020-06-01 11:53:51.150183	
2020-06-01 12:01:54.793845	window size k : 3
2020-06-01 12:01:54.793895	time(s) : 482.457467
2020-06-01 12:01:54.794553	x_hat_error_rate : 0.052745
2020-06-01 12:01:54.794575	
2020-06-01 12:10:03.041018	window size k : 5
2020-06-01 12:10:03.041187	time(s) : 486.927163
2020-06-01 12:10:03.041624	x_hat_error_rate : 0.049219
2020-06-01 12:10:03.041697	
2020-06-01 12:18:19.709928	window size k : 8
2020-06-01 12:18:19.709981	time(s) : 495.410903
2020-06-01 12:18:19.710136	x_hat_error_rate : 0.045883
2020-06-01 12:18:19.710162	
2020-06-01 12:26:35.145407	window size k : 10
2020-06-01 12:26:35.145578	time(s) : 494.200342
2020-06-01 12:26:35.145909	x_hat_error_rate : 0.047303
2020-06-01 12:26:35.145980	
2020-06-01 12:35:05.319955	window size k : 15
2020-06-01 12:35:05.319997	time(s) : 508.946622
2020-06-01 12:35:05.320406	x_hat_error_rate : 0.046617
2020-06-01 12:35:05.320429	
2020-06-01 12:43:45.311517	window size k : 20
2020-06-01 12:43:45.311561	time(s) : 518.736861
2020-06-01 12:43:45.311711	x_hat_error_rate : 0.047797
2020-06-01 12:43:45.311735	
2020-06-01 12:52:32.110226	window size k : 30
2020-06-01 12:52:32.110272	time(s) : 525.631097
2020-06-01 12:52:32.110662	x_hat_error_rate : 0.048069
2020-06-01 12:52:32.110684	
2020-06-01 13:01:51.983829	window size k : 50
2020-06-01 13:01:51.983871	time(s) : 558.607182
2020-06-01 13:01:51.984206	x_hat_error_rate : 0.052474
2020-06-01 13:01:51.984229	
